symbol,trigger_ts,trigger_date,oi_mc,surge,log_mc_usd,log_oi_usd,change_before_24h,volatility_24h,volume_ratio,price_range_24h,body_ratio,consecutive_green,rsi_14,bb_position,atr_pct,oi_change_1h,oi_change_24h,oi_acceleration,vol_range_ratio,oi_surge_ratio,pre_surge_ratio,return_24h,return_48h,return_7d,label_long,label_short,label,max_profit_24h,max_drawdown_24h
HIPPO/USDT,2025-11-05 18:30:00+00:00,2025-11-05,0.4363,0.3326,7.360971883725936,7.000752674602186,24.78,0.03457366640443104,54.41673270289897,0.5298416565164433,0.6701754385964913,1.0,61.9935170178282,1.229771971193133,0.06113115978098557,0.28601611325314336,0.30471067647578604,0.2740424438869658,102.70376448064381,0.9161475540462598,0.7450390859891762,-8.54,208.19,212.2,long,not_short,long,25.435540069686425,-27.831010452961667
TST/USDT,2025-11-05 07:45:00+00:00,2025-11-05,0.3626,0.1258,7.2251516921335694,6.784526002753663,19.45,0.014968125658007665,36.170706793067644,0.2264021887824899,0.934272300469483,2.0,88.17567567567559,1.5738508147012726,0.016162669447341002,0.14295446452573524,0.1898340781134298,0.142998793739281,159.76306142436513,1.5090149293595374,1.5461049284578696,1.8,2.92,0.56,not_long,not_short,skip,10.499719258843342,-11.285794497473322
RESOLV/USDT,2025-11-06 08:00:00+00:00,2025-11-06,0.2886,0.1608,7.553088718524618,7.0133119062706655,66.62,0.028299548145509543,7.850715990427492,0.860781990521327,0.8240205523442513,3.0,88.57534246575342,1.201354349930487,0.05364853195164072,0.1490177626258776,0.2842055022933241,0.009643687329125988,9.1204463811711,1.7674471535654483,4.1430348258706475,-20.13,-7.43,42.64,not_long,short,short,11.301813471502587,-32.51295336787564
FLUX/USDT,2025-11-07 16:45:00+00:00,2025-11-07,3.106,0.8245,6.07703233315589,6.56923458526575,134.94,0.062342036968821624,179.93875705212616,1.4868282402528978,0.8950617283950618,5.0,99.03846153846155,1.5692119872057353,0.04738582877496501,1.0177171915784051,0.9691637722790831,1.0097843423627766,121.02188550139456,1.1754563641953706,1.6366282595512431,-3.96,-17.45,-30.9,not_long,not_short,skip,33.12555654496882,-45.414069456812115
LAB/USDT,2025-11-07 12:45:00+00:00,2025-11-07,0.4755,0.1228,7.245046241791368,6.922188354629451,61.43,0.02165781902159595,8.505955980381865,0.6550646398636172,0.8452220726783305,5.0,80.1098901098901,1.24356144199894,0.05534719112305319,0.18505414356766847,0.1884082838807554,0.17511678895532215,12.984910896965502,1.5342694127097345,5.002442996742671,-23.65,-22.09,-46.22,not_long,short,short,11.407175200278651,-30.137582723789624
TA/USDT,2025-11-10 17:00:00+00:00,2025-11-10,0.6712,0.2415,7.252046775964611,7.078917947601923,131.21,0.032391156948968776,20.693396960980944,1.4834770114942528,0.7593393629571377,5.0,87.46447742342912,1.2547043800846807,0.08794364007944502,-0.025158379947422555,0.5528240661663807,-0.1826159793327141,13.949253544641877,2.289126567976732,5.43312629399586,-56.2,-59.03,-65.24,not_long,short,short,22.20431190812009,-57.30404996977634
SUPER/USDT,2025-11-13 01:15:00+00:00,2025-11-13,0.813,0.1237,6.64638431488466,6.556481127951547,14.16,0.012874443366365552,108.65692281412659,0.19512195121951204,0.8770301624129936,4.0,87.74774774774771,1.5617619146665631,0.015662700723853895,0.23383581440568615,0.21485835126190378,0.23784317858181894,556.8667294223992,1.7369308913654307,1.1447049312853677,-19.95,-22.74,-33.11,not_long,short,short,1.3104251601630867,-21.083284799068135
EVAA/USDT,2025-11-14 03:00:00+00:00,2025-11-14,0.6222,0.1217,7.133748021904379,6.927695038476876,24.46,0.021853770249903343,13.143608232194019,0.4244224422442245,0.6861538461538466,6.0,82.77027027027029,1.3808737427216002,0.037868260144524726,0.07397662127334978,0.1684498934314538,0.07511771408294374,30.968221573520896,1.3841404554762022,2.0098603122432213,-40.86,-31.23,-46.01,not_long,short,short,15.710116731517498,-47.81128404669261
ZEREBRO/USDT,2025-11-15 12:00:00+00:00,2025-11-15,0.5668,0.1646,7.6503832897364346,7.403834991295766,33.46,0.020476324253624976,61.99129298862582,0.4220413274890419,0.7006651884700664,4.0,96.70329670329673,1.4833820596716627,0.027127200690161977,0.07976334341967313,0.11829254534198667,0.0251728684944523,146.88441380242648,0.7186667396232483,2.0328068043742404,-33.42,-36.59,-48.69,not_long,short,short,1.9906061283829102,-34.265265041377766
AKE/USDT,2025-11-18 06:00:00+00:00,2025-11-18,0.3262,0.1014,7.142623290139972,6.656119964127051,30.87,0.016115503483321362,63.214378668869074,0.4112573763050388,0.7560646900269535,6.0,90.1484480431849,1.3920628609618233,0.024716255510740092,0.8967107366013611,1.335458366800541,0.6995723349976402,153.71001788909328,13.170200856021115,3.044378698224852,-41.83,-26.02,-42.04,not_long,short,short,25.37754432042023,-46.15889691398555
